S|A Harlem - JV Basketball External Competition Master Schedule (SY23-24),,,,,,,,,,,,
League,School/Network,Age,Date,Day,Time,Venue,Home Team,Visiting Team,Result,Record,Needs Bus,Permit
CPSAL ,HSLA - Manhattan,JV - Girls,10/04/2023,Wednesday,4:30 PM,Uncommon Charter,HSLA-Manhattan,Uncommon Prep,Loss (37-6),0 - 1,No,No
CPSAL ,HSLA - Harlem,JV - Girls,10/05/23,Thursday,5:00 PM,Inwood,HSLA-Harlem,Inwood,L (22-18),0 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/05/23,Thursday,6:00 PM,Inwood,HSLA-Harlem,Inwood,W (64-32),1 - 0,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/06/23,Friday,5:00 PM,HSLA-Harlem,Democracy Prep,HSLA-Harlem,Loss (23-11),0 - 2,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/06/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,Democracy Prep,Win (52-21),2 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/06/23,Friday,6:00 PM,Inwood Academy,Inwood Academy,HSLA-Manhattan,Loss (36-28),0 - 1,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/06/2023,Friday,5:00 PM,Inwood Academy,Inwood,HSLA-Manhattan,Win (27-9),1 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/07/23,Saturday,4:00 PM,HSLA-Harlem,HSLA-Harlem,AECI,Win (68-34),3 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/07/23,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,AECI 2,Win (49-11),1 - 1,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/9/2023,Monday,6:00 PM,Inwood Academy,HSLA-Manhattan,Inwood,Win (36-17),2 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/10/23,Tuesday ,5:00 PM,Inwood,Inwood,HSLA-Harlem,Win (57-29),4 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/11/2023,Wednesday,7:00 PM,Dream Charter HS,HSLA-Manhattan,DREAM,Loss (38-30),2 - 2,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/14/23,Saturday,4:00 PM,HSLA-Harlem,HSLA-Harlem,East Harlem Scholars,Win (70-41),5 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/14/23,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,OSL,Loss (56-28),2 - 3,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/14/2023,Saturday,1:00 PM,HSLA-Manhattan,HSLA-Manhattan,Williamsburg,Win (26-16),2 - 1,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/16/23,Monday,6:00 PM,Dream Charter HS,HSLA-Harlem,DREAM,Loss (14-15),0 - 3,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/16/23,Monday,7:00 PM,Dream Charter HS,HSLA-Harlem,DREAM,Win (36-32),6 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/17/2023,Tuesday,5:30 PM,Bronx Prep,HSLA-Manhattan,Bronx Prep,Loss (36-28),2 - 4,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/19/23,Thursday,5:30 PM,Uncommon Charter,Uncommon Prep,HSLA-Harlem,Loss (42-7),0 - 4,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/20/23,Friday,5:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Loss (13-12),0 - 5,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/20/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Win (36-27),7 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/20/2023,Friday,6:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Loss (36-27),2 - 5,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/20/2023,Friday,5:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Win (13-12),3 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/21/23,Saturday,3:00 PM,HSLA-Harlem,AECI,HSLA-Harlem,Win (30-27),8 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/21/2023,Saturday,2:00 PM,HSLA-Manhattan,AECI 2,HSLA-Manhattan,Loss (25-22),2 - 6,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/25/2023,Wednesday,5:30 PM,Uncommon Charter,Uncommon Charter,HSLA-Manhattan,Win (20-13),4 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/27/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,HSLA-Manhattan,Win (28-26),9 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/27/2023,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,HSLA-Manhattan,Loss (28-26),2 - 7,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/28/23,Saturday,3:00 PM,HSLA-Harlem,HSLA-Harlem,Bronx Prep,Win (Forfeit),1 - 5,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/28/23,Saturday,4:00 PM,HSLA-Harlem,HSLA-Harlem,Bronx Prep,Win (46-33),10 - 0,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/28/2023,Saturday,1:00 PM,HSLA-Manhattan,HSLA-Manhattan,Democracy Prep,Win (28-23),5 - 1,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/28/2023,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,Democracy Prep,Win (30-24),3 - 7,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/30/2023,Monday,5:30 PM,Uncommon Charter,HSLA-Manhattan,Uncommon Collegiate,Loss (30-9),5 - 2,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/02/23,Thursday,5:00 PM,East Harlem Scholars,East Harlem Scholars,HSLA-Harlem,Win (47-25),11 - 0,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/03/23,Friday,5:00 PM,HSLA-Harlem,HSLA-Harlem,AECI 2,Win (71-6),12 - 0,No,
CPSAL ,HSLA - Harlem,JV - Girls,11/03/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,HSLA-Brooklyn,Win (41-2),2 - 5,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/04/2023,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,AECI,Win (36-32),4 - 7,No,
CPSAL ,HSLA - Harlem,JV - Girls,11/06/23,Monday,4:30 PM,Uncommon Charter,HSLA-Harlem,Uncommon Charter,Loss (18-11),2 - 6,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/06/2023,Monday,5:00 PM,East Harlem Scholars,East Harlem Scholars,HSLA-Manhattan,Loss (38-31),4 - 8,No,
CPSAL ,HSLA - Harlem,JV - Girls,11/07/23,Tuesday ,4:30 PM,Uncommon Charter,Uncommon Collegiate,HSLA-Harlem,Loss (25-6),2 - 7,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/08/23,Wednesday,6:00 PM,Dream Charter HS,DREAM,HSLA-Harlem,Win (31-16),13 - 0,No,
CPSAL ,HSLA - Harlem,JV - Girls,11/10/23,Friday,5:00 PM,HSLA-Harlem,Williamsburg,HSLA-Harlem,Loss (31-9),2 - 8,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/10/23,Friday,6:00 PM,HSLA-Harlem,OSL,HSLA-Harlem,Win (Forfeit),14 - 0,No,
CPSAL ,HSLA - Manhattan,JV - Girls,11/10/2023,Friday,4:30 PM,Bronx Prep,Bronx Prep,HSLA-Manhattan,Win (Forfeit),6 - 2,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/10/2023,Friday,5:30 PM,Bronx Prep,Bronx Prep,HSLA-Manhattan,Loss (47-41),4 - 9,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/11/23,Saturday,4:00 PM,HSLA-Harlem,Democracy Prep,HSLA-Harlem,Win (33-30),15 - 0,No,
CPSAL ,HSLA - Manhattan,JV - Girls,11/11/2023,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Brooklyn,HSLA-Manhattan,Win (Forfeit),7 - 2,No,
CPSAL ,HSLA - Manhattan,JV - Girls,11/13/2023,Monday,6:00 PM,Dream Charter HS,DREAM,HSLA-Manhattan,Win (Forfeit),8 - 2,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/13/2023,Monday,7:00 PM,Dream Charter HS,DREAM,HSLA-Manhattan,Loss (64-18),4 - 10,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/14/23,Tuesday ,5:00 PM,Bronx Prep,Bronx Prep,HSLA-Harlem,Win (47-23),16 - 0,No,
CPSAL-Playoffs,HSLA - Harlem,JV - Girls,11/15/23,Wednesday,6:00 PM,Dream Charter HS,DREAM (#8 Seed),HSLA-Harlem (#9 Seed),Win (17-7),3 - 8,No,
CPSAL-Playoffs QF,HSLA - Harlem,JV - Girls,11/16/23,Thursday,4:30 PM,Uncommon Charter,Uncommon Collegiate (#1 Seed),HSLA-Harlem (#9 Seed),Win (Forfeit),4 - 8,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/16/2023,Thursday,5:00 PM,East Harlem Scholars,HSLA-Manhattan,East Harlem Scholars,Win (38-30),5 - 10,No,
CPSAL-Playoffs QF,HSLA - Manhattan,JV - Girls,11/16/2023,Thursday,5:30 PM,Uncommon Charter,HSLA-Manhattan (#2 Seed),Inwood (#7 Seed),Win (24-23),9 - 2,No,
CPSAL-Playoffs SF,HSLA - Harlem,JV - Girls,11/17/23,Friday,4:30 PM,Uncommon Charter,HSLA-Manhattan (#2 Seed),HSLA-Harlem (#9 Seed),Win (8-7),5 - 8,No,
CPSAL-Playoffs SF,HSLA - Manhattan,JV - Girls,11/17/2023,Friday,4:30 PM,Uncommon Charter,HSLA-Manhattan (#2 Seed),HSLA-Harlem (#9 Seed),Loss (8-7),9 - 3,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/17/2023,Friday,6:00 PM,OSL,OSL,HSLA-Manhattan,Loss (Forfeit),5 - 11,No,
CPSAL- Championship,HSLA - Harlem,JV - Girls,11/28/23,Tuesday ,5:00 PM,Uncommon Charter,Uncommon Charter  (#5 Seed),HSLA-Harlem (#9 Seed),Win (13-12),6 - 8,No,
CPSAL- Playoffs  East Semi Finals ,HSLA - Harlem,JV - Boys,11/29/23,Wednesday,6:00 PM,Dream Charter HS,HSLA-Harlem (#1 Seed),DREAM (#4 Seed),Loss (37-33),16 - 1,No,
Non-League,HSLA - Brooklyn,JV - Boys,01/10/24,Wednesday,5:30 PM,HSLA - Brooklyn,HSLA - Brooklyn,Uncmmon Collegiate,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,FINAL RECORD ,HSLA-Harlem JV - Boys ,,16 - 1,,
,,,,,,,,HSLA-Harlem JV - Girls,,6 - 8,,
,,,,,,,FINAL RECORD ,HSLA-Manhattan JV - Boys ,,5-11,,
,,,,,,,,HSLA-Manhattan JV - Girls,,9-3,,