SA Varsity Soccer External Competition Master Schedule (SY23-24),,,,,,,,,,,,
League,School/Network,Age,Date,Day,Time,Venue,Home Team,Visiting Team,Result,Record,Needs Bus,Notes
Scrimmage,HSLA-Manhattan ,Varsity - Boys,09/24/23,Sunday,2:30 PM,Pier 42,Essex Street Academy,Success Academy Manhattan,W 6-4,N/A,No,
CSAA,HSLA (Joint),Varsity - Girls,09/27/23,Wednesday,5:15 PM,Wagner Playground,Success Academy (Joint),Queens Academy,L 2-1,0-1,No,No nets
CSAA,HSLA-Harlem ,Varsity - Boys,09/28/23,Thursday ,4:00 PM,Jacob Schiff,Basis Independent Manhattan,Success Academy Harlem,W 5-1,1-0,No,No nets
CSAA,HSLA-Manhattan ,Varsity - Boys,09/28/23,Thursday ,5:00 PM,Jacob Schiff,American Dream,Success Academy Manhattan,W 3-2,1-0,No,No nets
CSAA,HSLA (Joint),Varsity - Girls,10/02/23,Monday,4:00 PM,Eugene McCabe Field,Success Academy (Joint),New Visions,W 11-1,1-1,No,Nets provided
CSAA,HSLA-Harlem ,Varsity - Boys,10/02/23,Monday,5:00 PM,Thomas Jefferson Park,Success Academy Harlem,American Dream,W 4-2,2-0,No,
CSAA,HSLA-Manhattan ,Varsity - Boys,10/03/23,Tuesday,5:00 PM,Jacob Schiff,Success Academy Manhattan,Saint Demetrios,W 8-0,2-0,No,Nets provided
CSAA,HSLA (Joint),Varsity - Girls,10/06/23,Friday,4:00 PM,Eugene McCabe Field,Success Academy (Joint),BASIS Manhattan,W 13-1,2-1,No,Nets provided
CSAA,HSLA-Harlem ,Varsity - Boys,10/12/23,Thursday ,4:00 PM,Central Park North Meadow #6,Success Academy Harlem,Cristo Rey NY,W 2-1,3-0,No,Nets provided
CSAA,HSLA-Manhattan ,Varsity - Boys,10/12/23,Thursday ,5:00 PM,Central Park North Meadow #6,Success Academy Manhattan,Legacy ,W 3-1,3-0,No,Nets provided
CSAA,HSLA (Joint),Varsity - Girls,10/12/23,Thursday ,5:00 PM,Wagner Playground,Success Academy (Joint),Brooklyn Prospect,L 8-4,2-2,No,
CSAA,HSLA-Manhattan ,Varsity - Boys,10/13/23,Friday,4:00 PM,Central Park North Meadow #5,Success Academy Manhattan,BASIS Manhattan,W 3-0 (FFT),4-0,No,Nets provided
CSAA,HSLA-Harlem ,Varsity - Boys,10/13/23,Friday,5:00 PM,Central Park North Meadow #5,Success Academy Harlem,New Heights,W 12-0,4-0,No,Nets provided
CSAA,HSLA (Joint),Varsity - Girls,10/13/23,Friday,5:00 PM,Eugene McCabe Field,Success Academy (Joint),Cristo Rey NY,L 6-3,2-3,No,
CSAA,HSLA-Harlem/Manhattan ,Varsity - Boys,10/17/23,Tuesday,5:00 PM,Jacob Schiff,Success Academy Harlem,Success Academy Manhattan,T 2-2,4-1-0,No,
CSAA,HSLA-Harlem/Manhattan ,Varsity - Boys,10/17/23,Tuesday,5:00 PM,Jacob Schiff,Success Academy Harlem,Success Academy Manhattan,T 2-2,4-1-0,No,
CSAA,HSLA (Joint),Varsity - Girls,10/19/23,Thursday,4:00 PM,Wagner Playground,American Dream,Success Academy (Joint),W 8-2,3-3,No,
CSAA,HSLA-Manhattan ,Varsity - Boys,10/19/23,Thursday ,4:00 PM,Starlight Park,New Visions,Success Academy Manhattan,L 4-3,4-1-1,No,
CSAA,HSLA-Harlem ,Varsity - Boys,10/19/23,Thursday ,5:00 PM,Flushing Meadows Corona Park #3,Saint Demetrios,Success Academy Harlem,W 7-0,5-1-0,No,
CSAA,HSLA (Joint),Varsity - Girls,10/20/23,Friday,4:00 PM,Eugene McCabe Field,MESA,Success Academy (Joint),L 6-4,3-4,No,
Scrimmage,HSLA-Harlem ,Varsity - Boys,10/21/23,Saturday,3:00 PM,Pier 42,Essex Street Academy,Success Academy Harlem,W 6-2,N/A,No,
CSAA,HSLA-Manhattan ,Varsity - Boys,10/23/23,Monday,5:00 PM,Thomas Jefferson Park,Cristo Rey NY,Success Academy Manhattan,L 3-1,4-1-2,No,
CSAA,HSLA-Manhattan ,Varsity - Boys,10/24/23,Tuesday,4:00 PM,Macombs Dam Park,New Heights,Success Academy Manhattan,W 3-0 (FFT),5-1-2,No,
CSAA,HSLA (Joint),Varsity - Girls,10/25/23,Wednesday,4:00 PM,Booker T. Washington Playground,Cristo Rey NY,Success Academy (Joint),W 3-2,4-4,No,
CSAA,HSLA-Harlem ,Varsity - Boys,10/27/23,Friday,4:00 PM,Harlem River Park,Success Academy Harlem,Health & Science,W 7-0,6-1-0,No,
CSAA,HSLA-Manhattan ,Varsity - Boys,10/30/23,Monday,5:00 PM,Thomas Jefferson Park,Success Academy Manhattan,Health & Science,W 8-0,6-1-2,No,
CSAA,HSLA-Harlem ,Varsity - Boys,10/30/23,Monday,5:00 PM,Harlem River Park,Success Academy Harlem,Legacy ,W 4-1,7-1-0,No,
CSAA,HSLA (Joint),Varsity - Girls,11/01/23,Wednesday,4:00 PM,Wagner Playground,New Visions,Success Academy (Joint),W 3-0 (FFT),5-4,No,
CSAA,HSLA (Joint),Varsity - Girls,11/02/23,Thursday,4:00 PM,Highland Park Soccer Fields,MESA,Success Academy (Joint),L 1-0,5-5,No,
CSAA,HSLA-Harlem ,Varsity - Boys,11/03/23,Friday,5:00 PM,Central Park North Meadow #5,KIPP NYC,Success Academy Harlem,W 3-2,8-1-0,No,
CSAA,HSLA (Joint),Varsity - Girls,11/06/23,Monday,4:00 PM,Hamilton Metz Field,Brooklyn Prospect,Success Academy (Joint),L 3-0 (FFT),5-6,No,
CSAA,HSLA-Manhattan ,Varsity - Boys,11/06/23,Monday,4:00 PM,Thomas Jefferson Park,Success Academy Manhattan,KIPP NYC,W 1-0,7-1-2,No,
CSAA,HSLA-Harlem ,Varsity - Boys,11/08/23,Wednesday,4:00 PM,Harlem River Park,Success Academy Harlem,New Visions,W 1-0,9-1-0,No,
CSAA,HSLA (Joint),Varsity - Girls,11/08/23,Wednesday,4:00 PM,Wagner Playground,Success Academy (Joint),Queens Academy,L 5-2,5-7,No,
CSAA - QF's,HSLA (Joint),Varsity - Girls,11/13/23,Monday,4:00 PM,Booker T. Washington Playground,Success Academy (Joint),Queens Academy,L 2-1,5-8,No,
CSAA - QF's,HSLA-Harlem ,Varsity - Boys,11/13/23,Monday,4:00 PM,Harlem River Park,Success Academy Harlem,Health & Science,W 6-1,10-1-0,No,
CSAA - QF's,HSLA-Manhattan ,Varsity - Boys,11/13/23,Monday,5:00 PM,Harlem River Park,Success Academy Manhattan,Legacy ,W 2-0,8-1-2,No,
CSAA - SF's,HSLA-Harlem ,Varsity - Boys,11/15/23,Wednesday,4:00 PM,Harlem River Park,Success Academy Harlem,Cristo Rey NY,W 1-0,11-1-0,No,
CSAA - SF's,HSLA-Manhattan ,Varsity - Boys,11/15/23,Wednesday,5:00 PM,Harlem River Park,Success Academy Manhattan,New Visions,L 0-1,8-1-3,No,
CSAA - Conference Championship,Finals,Varsity - Boys,11/17/23,Friday,4:00 PM,Harlem River Park,Success Academy Harlem,New Visions,L 1-1 (5-3 PK),11-1-1,No,
,,,,,,,,,,,,
,,,,,,,FINAL RECORD ,HSLA Joint Varsity - Girls ,,5 - 8,,
,,,,,,,,HSLA Manhattan Varsity - Boys ,,8 - 1 - 3,,
,,,,,,,,HSLA Harlem  Varsity - Boys,,11 - 1 - 1,,